artist,album,year,placement,genre,region,theme_label,description,critical_context,text,label
Jeremy Dutcher,Motewolonuwok,2024,winner,Indigenous/Classical,New Brunswick,Identity & Heritage,Indigenous classical/electronic music exploring Wolastoqey culture and language preservation,Combines traditional songs with contemporary arrangements,Album: Motewolonuwok | Artist: Jeremy Dutcher | Genre: Indigenous/Classical | Description: Indigenous classical/electronic music exploring Wolastoqey culture and language preservation | Context: Combines traditional songs with contemporary arrangements,1
Elisapie,Inuktitut,2024,longlist,Indigenous Folk,Quebec,Identity & Heritage,Indigenous folk music sung in Inuktitut language,Celebrates Inuit culture and language,Album: Inuktitut | Artist: Elisapie | Genre: Indigenous Folk | Description: Indigenous folk music sung in Inuktitut language | Context: Celebrates Inuit culture and language,1
Shane Ghostkeeper,Songs for My People,2024,longlist,Indigenous Folk,Alberta,Identity & Heritage,Indigenous folk exploring cultural identity,Personal journey through Indigenous heritage,Album: Songs for My People | Artist: Shane Ghostkeeper | Genre: Indigenous Folk | Description: Indigenous folk exploring cultural identity | Context: Personal journey through Indigenous heritage,1
Dominique Fils-Aimé,Our Roots Run Deep,2024,longlist,Soul/Jazz,Quebec,Identity & Heritage,Soul/jazz exploring African-Canadian heritage,Explores Black Canadian identity and roots,Album: Our Roots Run Deep | Artist: Dominique Fils-Aimé | Genre: Soul/Jazz | Description: Soul/jazz exploring African-Canadian heritage | Context: Explores Black Canadian identity and roots,1
DijahSB,The Flower That Knew,2024,longlist,Hip-Hop,Ontario,Social Commentary,Hip-hop with social consciousness and personal reflection,Addresses social issues and personal growth,Album: The Flower That Knew | Artist: DijahSB | Genre: Hip-Hop | Description: Hip-hop with social consciousness and personal reflection | Context: Addresses social issues and personal growth,5
NOBRO,Set Your Pussy Free,2024,longlist,Punk Rock,Quebec,Social Commentary,Punk rock with feminist themes,Feminist punk with empowering messages,Album: Set Your Pussy Free | Artist: NOBRO | Genre: Punk Rock | Description: Punk rock with feminist themes | Context: Feminist punk with empowering messages,5
The Beaches,Blame My Ex,2024,longlist,Rock,Ontario,Love & Relationships,Rock album about relationships and heartbreak,Explores romantic relationships and breakups,Album: Blame My Ex | Artist: The Beaches | Genre: Rock | Description: Rock album about relationships and heartbreak | Context: Explores romantic relationships and breakups,3
Charlotte Cardin,99 Nights,2024,longlist,Pop/R&B,Quebec,Love & Relationships,Pop/R&B album exploring love and relationships,Intimate exploration of love and desire,Album: 99 Nights | Artist: Charlotte Cardin | Genre: Pop/R&B | Description: Pop/R&B album exploring love and relationships | Context: Intimate exploration of love and desire,3
Allison Russell,The Returner,2024,longlist,Folk/Soul,Quebec,Love & Relationships,Folk/soul exploring healing and resilience,Personal journey of healing and family,Album: The Returner | Artist: Allison Russell | Genre: Folk/Soul | Description: Folk/soul exploring healing and resilience | Context: Personal journey of healing and family,3
TOBi,Panic,2024,longlist,Hip-Hop/R&B,Ontario,Introspection & Philosophy,Hip-hop/R&B exploring anxiety and mental health,Honest examination of mental health struggles,Album: Panic | Artist: TOBi | Genre: Hip-Hop/R&B | Description: Hip-hop/R&B exploring anxiety and mental health | Context: Honest examination of mental health struggles,2
Haley Blais,Wisecrack,2024,longlist,Indie Folk,British Columbia,Introspection & Philosophy,Indie folk with introspective lyrics,Self-reflective songwriting with vulnerability,Album: Wisecrack | Artist: Haley Blais | Genre: Indie Folk | Description: Indie folk with introspective lyrics | Context: Self-reflective songwriting with vulnerability,2
Helena Deland,Goodnight Summerland,2024,longlist,Indie Pop,Quebec,Introspection & Philosophy,Dreamy indie pop with introspective themes,Contemplative lyrics over ethereal soundscapes,Album: Goodnight Summerland | Artist: Helena Deland | Genre: Indie Pop | Description: Dreamy indie pop with introspective themes | Context: Contemplative lyrics over ethereal soundscapes,2
Terra Lightfoot,Healing Power,2024,longlist,Rock/Blues,Ontario,Introspection & Philosophy,Rock/blues about resilience and healing,Songs about overcoming adversity and healing,Album: Healing Power | Artist: Terra Lightfoot | Genre: Rock/Blues | Description: Rock/blues about resilience and healing | Context: Songs about overcoming adversity and healing,2
Beverly Glenn-Copeland,The Ones Ahead,2024,longlist,Electronic,New Brunswick,Introspection & Philosophy,Spiritual and philosophical electronic music,Spiritual themes and life philosophy,Album: The Ones Ahead | Artist: Beverly Glenn-Copeland | Genre: Electronic | Description: Spiritual and philosophical electronic music | Context: Spiritual themes and life philosophy,2
Corridor,Mimi,2024,longlist,Indie Rock,Quebec,Place & Landscape,Quebec indie rock with French lyrics,Distinctly Quebec indie rock sound,Album: Mimi | Artist: Corridor | Genre: Indie Rock | Description: Quebec indie rock with French lyrics | Context: Distinctly Quebec indie rock sound,4
Population II,Électrons libres du québec,2024,longlist,Psychedelic Rock,Quebec,Place & Landscape,Psychedelic rock from Quebec,Quebec psychedelic scene representation,Album: Électrons libres du québec | Artist: Population II | Genre: Psychedelic Rock | Description: Psychedelic rock from Quebec | Context: Quebec psychedelic scene representation,4
BIG|BRAVE,A Chaos of Flowers,2024,longlist,Experimental,Quebec,Experimental & Abstract,Experimental metal/drone music,Avant-garde approach to heavy music,Album: A Chaos of Flowers | Artist: BIG|BRAVE | Genre: Experimental | Description: Experimental metal/drone music | Context: Avant-garde approach to heavy music,0
Cindy Lee,Diamond Jubilee,2024,longlist,Experimental Pop,Ontario,Experimental & Abstract,Lo-fi experimental pop,Boundary-pushing approach to pop music,Album: Diamond Jubilee | Artist: Cindy Lee | Genre: Experimental Pop | Description: Lo-fi experimental pop | Context: Boundary-pushing approach to pop music,0
TEKE::TEKE,Hagata,2024,longlist,Experimental Rock,Quebec,Experimental & Abstract,Japanese-influenced experimental rock,Fusion of Japanese and Western musical elements,Album: Hagata | Artist: TEKE::TEKE | Genre: Experimental Rock | Description: Japanese-influenced experimental rock | Context: Fusion of Japanese and Western musical elements,0
Allie X,Girl With No Face,2024,longlist,Pop,Ontario,Introspection & Philosophy,Pop album exploring themes of identity and self-perception,Dark pop examining self-image and identity,Album: Girl With No Face | Artist: Allie X | Genre: Pop | Description: Pop album exploring themes of identity and self-perception | Context: Dark pop examining self-image and identity,2
BAMBII,INFINITY CLUB,2024,longlist,Electronic,Ontario,Experimental & Abstract,Electronic dance music project,Innovative electronic dance production,Album: INFINITY CLUB | Artist: BAMBII | Genre: Electronic | Description: Electronic dance music project | Context: Innovative electronic dance production,0
Annie-Claude Deschênes,LES MANIÈRES DE TABLE,2024,longlist,Experimental,Quebec,Experimental & Abstract,French-language experimental music,Avant-garde French experimental compositions,Album: LES MANIÈRES DE TABLE | Artist: Annie-Claude Deschênes | Genre: Experimental | Description: French-language experimental music | Context: Avant-garde French experimental compositions,0
Devours,Homecoming Queen,2024,longlist,Alternative Rock,Ontario,Love & Relationships,Alternative rock with personal themes,Rock exploring personal relationships and nostalgia,Album: Homecoming Queen | Artist: Devours | Genre: Alternative Rock | Description: Alternative rock with personal themes | Context: Rock exploring personal relationships and nostalgia,3
Ducks Ltd.,Harm's Way,2024,longlist,Indie Rock,Ontario,Love & Relationships,Indie rock with jangly guitars,Indie rock exploring romantic themes,Album: Harm's Way | Artist: Ducks Ltd. | Genre: Indie Rock | Description: Indie rock with jangly guitars | Context: Indie rock exploring romantic themes,3
Karkwa,Dans la seconde,2024,longlist,Indie Rock,Quebec,Place & Landscape,Quebec indie rock past Polaris winner,Distinctly Quebec indie rock with regional identity,Album: Dans la seconde | Artist: Karkwa | Genre: Indie Rock | Description: Quebec indie rock past Polaris winner | Context: Distinctly Quebec indie rock with regional identity,4
KAYTRAMINÉ,KAYTRAMINÉ,2024,longlist,Hip-Hop/Electronic,Quebec,Experimental & Abstract,Hip-hop collaboration featuring Kaytranada,Innovative hip-hop electronic collaboration,Album: KAYTRAMINÉ | Artist: KAYTRAMINÉ | Genre: Hip-Hop/Electronic | Description: Hip-hop collaboration featuring Kaytranada | Context: Innovative hip-hop electronic collaboration,0
KEN mode,Void,2024,longlist,Noise Rock,Manitoba,Social Commentary,Noise rock/hardcore punk,Aggressive punk addressing social alienation,Album: Void | Artist: KEN mode | Genre: Noise Rock | Description: Noise rock/hardcore punk | Context: Aggressive punk addressing social alienation,5
La Force,XO Skeleton,2024,longlist,Indie Pop,Quebec,Introspection & Philosophy,Indie pop with ethereal vocals,Dreamy indie pop with introspective themes,Album: XO Skeleton | Artist: La Force | Genre: Indie Pop | Description: Indie pop with ethereal vocals | Context: Dreamy indie pop with introspective themes,2
La Sécurité,Stay Safe!,2024,longlist,Post-Punk,Quebec,Social Commentary,Post-punk with French lyrics,Political post-punk addressing social issues,Album: Stay Safe! | Artist: La Sécurité | Genre: Post-Punk | Description: Post-punk with French lyrics | Context: Political post-punk addressing social issues,5
Sean Leon,IN LOVING MEMORY,2024,longlist,Hip-Hop,Ontario,Introspection & Philosophy,Hip-hop exploring grief and memory,Personal hip-hop about loss and remembrance,Album: IN LOVING MEMORY | Artist: Sean Leon | Genre: Hip-Hop | Description: Hip-hop exploring grief and memory | Context: Personal hip-hop about loss and remembrance,2
LOONY,LOONY,2024,longlist,R&B,Ontario,Love & Relationships,R&B with personal storytelling,Contemporary R&B exploring personal relationships,Album: LOONY | Artist: LOONY | Genre: R&B | Description: R&B with personal storytelling | Context: Contemporary R&B exploring personal relationships,3
Jon McKiel,Hex,2024,longlist,Indie Folk,Nova Scotia,Introspection & Philosophy,Indie folk with mystical themes,Maritime indie folk with spiritual elements,Album: Hex | Artist: Jon McKiel | Genre: Indie Folk | Description: Indie folk with mystical themes | Context: Maritime indie folk with spiritual elements,2
myst milano.,Beyond the Uncanny Valley,2024,longlist,Electronic/Hip-Hop,Quebec,Experimental & Abstract,Electronic/hip-hop with futuristic themes,Futuristic electronic hip-hop fusion,Album: Beyond the Uncanny Valley | Artist: myst milano. | Genre: Electronic/Hip-Hop | Description: Electronic/hip-hop with futuristic themes | Context: Futuristic electronic hip-hop fusion,0
NYSSA,Shake Me Where I'm Foolish,2024,longlist,Indie Pop,Ontario,Introspection & Philosophy,Indie pop with vulnerable lyrics,Vulnerable indie pop about self-doubt,Album: Shake Me Where I'm Foolish | Artist: NYSSA | Genre: Indie Pop | Description: Indie pop with vulnerable lyrics | Context: Vulnerable indie pop about self-doubt,2
Pelada,Ahora Más Que Nunca,2024,longlist,Electronic,Quebec,Experimental & Abstract,Electronic dance music,Experimental electronic dance,Album: Ahora Más Que Nunca | Artist: Pelada | Genre: Electronic | Description: Electronic dance music | Context: Experimental electronic dance,0
PETER PETER,Éther,2024,longlist,Experimental,Quebec,Experimental & Abstract,French-language experimental music,French experimental electronic compositions,Album: Éther | Artist: PETER PETER | Genre: Experimental | Description: French-language experimental music | Context: French experimental electronic compositions,0
Arielle Soucy,Il n'y a rien que je ne suis pas,2024,longlist,Indie Folk,Quebec,Introspection & Philosophy,French-language indie folk,Philosophical French indie folk,Album: Il n'y a rien que je ne suis pas | Artist: Arielle Soucy | Genre: Indie Folk | Description: French-language indie folk | Context: Philosophical French indie folk,2
Super Duty Tough Work,Paradigm Shift,2024,longlist,Experimental Rock,Ontario,Experimental & Abstract,Experimental rock,Avant-garde rock experimentation,Album: Paradigm Shift | Artist: Super Duty Tough Work | Genre: Experimental Rock | Description: Experimental rock | Context: Avant-garde rock experimentation,0
TALK,Lord of the Flies & Birds & Bees,2024,longlist,Indie Rock,Ontario,Social Commentary,Indie rock with literary themes,Literary indie rock addressing social themes,Album: Lord of the Flies & Birds & Bees | Artist: TALK | Genre: Indie Rock | Description: Indie rock with literary themes | Context: Literary indie rock addressing social themes,5
Tomb Mold,The Enduring Spirit,2024,longlist,Death Metal,Ontario,Introspection & Philosophy,Death metal with philosophical themes,Heavy metal exploring existential themes,Album: The Enduring Spirit | Artist: Tomb Mold | Genre: Death Metal | Description: Death metal with philosophical themes | Context: Heavy metal exploring existential themes,2
Debby Friday,Good Luck,2023,winner,Electronic/Experimental,Ontario,Introspection & Philosophy,Electronic/experimental music exploring identity and anxiety,Raw exploration of mental health and identity,Album: Good Luck | Artist: Debby Friday | Genre: Electronic/Experimental | Description: Electronic/experimental music exploring identity and anxiety | Context: Raw exploration of mental health and identity,2
Aysanabee,Watin,2023,longlist,Indigenous Folk,Ontario,Identity & Heritage,Indigenous folk exploring cultural identity,Ojibwe artist exploring Indigenous identity,Album: Watin | Artist: Aysanabee | Genre: Indigenous Folk | Description: Indigenous folk exploring cultural identity | Context: Ojibwe artist exploring Indigenous identity,1
Ghostkeeper,Multidimensional Culture,2023,longlist,Indigenous Folk,Alberta,Identity & Heritage,Indigenous experimental folk,Indigenous perspectives on contemporary culture,Album: Multidimensional Culture | Artist: Ghostkeeper | Genre: Indigenous Folk | Description: Indigenous experimental folk | Context: Indigenous perspectives on contemporary culture,1
Zoon,Bekka Ma'iingan,2023,longlist,Indigenous Rock,Ontario,Identity & Heritage,Indigenous shoegaze exploring cultural themes,Ojibwe shoegaze examining cultural identity,Album: Bekka Ma'iingan | Artist: Zoon | Genre: Indigenous Rock | Description: Indigenous shoegaze exploring cultural themes | Context: Ojibwe shoegaze examining cultural identity,1
Snotty Nose Rez Kids,I'm Good HBU?,2023,longlist,Indigenous Hip-Hop,British Columbia,Social Commentary,Indigenous hip-hop with social and political themes,Indigenous activism through hip-hop,Album: I'm Good HBU? | Artist: Snotty Nose Rez Kids | Genre: Indigenous Hip-Hop | Description: Indigenous hip-hop with social and political themes | Context: Indigenous activism through hip-hop,5
Home Front,Games of Power,2023,longlist,Punk Rock,Ontario,Social Commentary,Punk rock with political themes,Political punk addressing power structures,Album: Games of Power | Artist: Home Front | Genre: Punk Rock | Description: Punk rock with political themes | Context: Political punk addressing power structures,5
Aquakultre,Don't Trip,2023,longlist,Hip-Hop,Nova Scotia,Social Commentary,Hip-hop with social consciousness,Maritime hip-hop with social awareness,Album: Don't Trip | Artist: Aquakultre | Genre: Hip-Hop | Description: Hip-hop with social consciousness | Context: Maritime hip-hop with social awareness,5
Daniel Caesar,NEVER ENOUGH,2023,longlist,R&B,Ontario,Love & Relationships,R&B exploring love and desire,Intimate R&B about romantic relationships,Album: NEVER ENOUGH | Artist: Daniel Caesar | Genre: R&B | Description: R&B exploring love and desire | Context: Intimate R&B about romantic relationships,3
Jessie Reyez,Yessie,2023,longlist,R&B/Pop,Ontario,Love & Relationships,R&B/pop exploring personal relationships,Personal storytelling through R&B,Album: Yessie | Artist: Jessie Reyez | Genre: R&B/Pop | Description: R&B/pop exploring personal relationships | Context: Personal storytelling through R&B,3
Philippe Brach,Les gens qu'on aime,2023,longlist,Folk,Quebec,Love & Relationships,French-language folk about relationships,Quebec folk exploring human connections,Album: Les gens qu'on aime | Artist: Philippe Brach | Genre: Folk | Description: French-language folk about relationships | Context: Quebec folk exploring human connections,3
Feist,Multitudes,2023,longlist,Indie Folk,Ontario,Introspection & Philosophy,Indie folk exploring personal complexity,Mature reflection on life's contradictions,Album: Multitudes | Artist: Feist | Genre: Indie Folk | Description: Indie folk exploring personal complexity | Context: Mature reflection on life's contradictions,2
Andy Shauf,Norm,2023,longlist,Indie Folk,Saskatchewan,Introspection & Philosophy,Indie folk with introspective storytelling,Character studies and personal reflection,Album: Norm | Artist: Andy Shauf | Genre: Indie Folk | Description: Indie folk with introspective storytelling | Context: Character studies and personal reflection,2
Begonia,Powder Blue,2023,longlist,Folk-Pop,Manitoba,Introspection & Philosophy,Folk-pop with emotional depth,Vulnerable songwriting about mental health,Album: Powder Blue | Artist: Begonia | Genre: Folk-Pop | Description: Folk-pop with emotional depth | Context: Vulnerable songwriting about mental health,2
Alvvays,Blue Rev,2023,longlist,Dream Pop,Ontario,Place & Landscape,Dream pop with nostalgic themes,Maritime-influenced dream pop,Album: Blue Rev | Artist: Alvvays | Genre: Dream Pop | Description: Dream pop with nostalgic themes | Context: Maritime-influenced dream pop,4
Dan Mangan,Being Somewhere,2023,longlist,Indie Folk,British Columbia,Place & Landscape,Indie folk about place and belonging,Reflections on place and geography,Album: Being Somewhere | Artist: Dan Mangan | Genre: Indie Folk | Description: Indie folk about place and belonging | Context: Reflections on place and geography,4
BIG|BRAVE,nature morte,2023,longlist,Experimental,Quebec,Experimental & Abstract,Experimental drone/metal,Avant-garde approach to heavy music,Album: nature morte | Artist: BIG|BRAVE | Genre: Experimental | Description: Experimental drone/metal | Context: Avant-garde approach to heavy music,0
Yoo Doo Right,A Murmur Boundless to the East,2023,longlist,Experimental Rock,Quebec,Experimental & Abstract,Experimental rock with psychedelic elements,Psychedelic experimentation,Album: A Murmur Boundless to the East | Artist: Yoo Doo Right | Genre: Experimental Rock | Description: Experimental rock with psychedelic elements | Context: Psychedelic experimentation,0
ALL HANDS_MAKE LIGHT,Darling the Dawn,2023,longlist,Indie Folk,Ontario,Love & Relationships,Indie folk with poetic lyrics,Poetic indie folk about relationships,Album: Darling the Dawn | Artist: ALL HANDS_MAKE LIGHT | Genre: Indie Folk | Description: Indie folk with poetic lyrics | Context: Poetic indie folk about relationships,3
Badge Époque Ensemble,Clouds of Joy,2023,longlist,Jazz-Fusion,Ontario,Experimental & Abstract,Instrumental jazz-fusion,Experimental jazz fusion,Album: Clouds of Joy | Artist: Badge Époque Ensemble | Genre: Jazz-Fusion | Description: Instrumental jazz-fusion | Context: Experimental jazz fusion,0
Bibi Club,Le soleil et la mer,2023,longlist,Indie Pop,Quebec,Love & Relationships,French-language indie pop,French indie pop with romantic themes,Album: Le soleil et la mer | Artist: Bibi Club | Genre: Indie Pop | Description: French-language indie pop | Context: French indie pop with romantic themes,3
Mariel Buckley,Everywhere I Used To Be,2023,longlist,Country/Folk,Alberta,Place & Landscape,Country/folk exploring place and memory,Country music about geographical identity,Album: Everywhere I Used To Be | Artist: Mariel Buckley | Genre: Country/Folk | Description: Country/folk exploring place and memory | Context: Country music about geographical identity,4
Chiiild,Better Luck in the Next Life,2023,longlist,R&B/Soul,Quebec,Introspection & Philosophy,R&B/soul with spiritual themes,Spiritual R&B exploring consciousness,Album: Better Luck in the Next Life | Artist: Chiiild | Genre: R&B/Soul | Description: R&B/soul with spiritual themes | Context: Spiritual R&B exploring consciousness,2
Gayance,Mascarade,2023,longlist,Electronic,Quebec,Identity & Heritage,Electronic music exploring identity,Electronic music about cultural identity,Album: Mascarade | Artist: Gayance | Genre: Electronic | Description: Electronic music exploring identity | Context: Electronic music about cultural identity,1
