artist,album,year,placement,genre,region,theme_label,description,critical_context,text,label
Fiver with the Atlantic School of Spontaneous Composition,Fiver with the Atlantic School of Spontaneous Composition,2021,longlist,Experimental,Nova Scotia,Experimental & Abstract,Collaborative experimental music,Maritime experimental collaboration,Album: Fiver with the Atlantic School of Spontaneous Composition | Artist: Fiver with the Atlantic School of Spontaneous Composition | Genre: Experimental | Description: Collaborative experimental music | Context: Maritime experimental collaboration,0
Thanya Iyer,KIND,2021,longlist,R&B/Soul,Ontario,Introspection & Philosophy,Contemporary R&B and soul,Spiritual R&B exploring kindness,Album: KIND | Artist: Thanya Iyer | Genre: R&B/Soul | Description: Contemporary R&B and soul | Context: Spiritual R&B exploring kindness,2
Yves Jarvis,Sundry Rock Song Stock,2021,longlist,Experimental,Quebec,Experimental & Abstract,Experimental indie rock,Avant-garde indie rock,Album: Sundry Rock Song Stock | Artist: Yves Jarvis | Genre: Experimental | Description: Experimental indie rock | Context: Avant-garde indie rock,0
Rochelle Jordan,Play with the Changes,2021,longlist,R&B,Ontario,Love & Relationships,Contemporary R&B,Contemporary R&B about relationships,Album: Play with the Changes | Artist: Rochelle Jordan | Genre: R&B | Description: Contemporary R&B | Context: Contemporary R&B about relationships,3
LAL,Meteors Could Come Down,2021,longlist,Electronic,Ontario,Social Commentary,Electronic music with social themes,Electronic music addressing social issues,Album: Meteors Could Come Down | Artist: LAL | Genre: Electronic | Description: Electronic music with social themes | Context: Electronic music addressing social issues,5
Daniel Lanois,Heavy Sun,2021,longlist,Folk/Rock,Ontario,Place & Landscape,Atmospheric folk rock,Atmospheric folk rock with Canadian themes,Album: Heavy Sun | Artist: Daniel Lanois | Genre: Folk/Rock | Description: Atmospheric folk rock | Context: Atmospheric folk rock with Canadian themes,4
Thierry Larose,Cantalou,2021,longlist,Folk,Quebec,Place & Landscape,French-language folk,Quebec folk with regional identity,Album: Cantalou | Artist: Thierry Larose | Genre: Folk | Description: French-language folk | Context: Quebec folk with regional identity,4
Russell Louder,Humor,2021,longlist,Electronic,Prince Edward Island,Identity & Heritage,Electronic music with gender themes,Electronic music exploring gender identity,Album: Humor | Artist: Russell Louder | Genre: Electronic | Description: Electronic music with gender themes | Context: Electronic music exploring gender identity,1
Elliot Maginot,Easy Morning,2021,longlist,Jazz,Ontario,Experimental & Abstract,Contemporary jazz,Contemporary jazz exploration,Album: Easy Morning | Artist: Elliot Maginot | Genre: Jazz | Description: Contemporary jazz | Context: Contemporary jazz exploration,0
Mustafa,When Smoke Rises,2021,longlist,R&B/Folk,Ontario,Introspection & Philosophy,R&B and folk with spiritual themes,Spiritual R&B exploring healing,Album: When Smoke Rises | Artist: Mustafa | Genre: R&B/Folk | Description: R&B and folk with spiritual themes | Context: Spiritual R&B exploring healing,2
Laura Niquay,Waska Matisiwin,2021,longlist,Indigenous Folk,Quebec,Identity & Heritage,Indigenous folk in Atikamekw language,Atikamekw language folk music,Album: Waska Matisiwin | Artist: Laura Niquay | Genre: Indigenous Folk | Description: Indigenous folk in Atikamekw language | Context: Atikamekw language folk music,1
NYSSA,Girls Like Me,2021,longlist,Indie Pop,Ontario,Identity & Heritage,Indie pop exploring identity,Indie pop about gender and identity,Album: Girls Like Me | Artist: NYSSA | Genre: Indie Pop | Description: Indie pop exploring identity | Context: Indie pop about gender and identity,1
The OBGMs,The Ends,2021,longlist,Punk Rock,Ontario,Social Commentary,Punk rock with social commentary,Punk rock addressing social issues,Album: The Ends | Artist: The OBGMs | Genre: Punk Rock | Description: Punk rock with social commentary | Context: Punk rock addressing social issues,5
Dorothea Paas,Anything Can't Happen,2021,longlist,Experimental Folk,Ontario,Experimental & Abstract,Experimental folk with unconventional structures,Avant-garde folk experimentation,Album: Anything Can't Happen | Artist: Dorothea Paas | Genre: Experimental Folk | Description: Experimental folk with unconventional structures | Context: Avant-garde folk experimentation,0
Klô Pelgag,Notre-Dame-des-Sept-Douleurs,2021,longlist,Art Pop,Quebec,Place & Landscape,French-language art pop,Quebec art pop with regional themes,Album: Notre-Dame-des-Sept-Douleurs | Artist: Klô Pelgag | Genre: Art Pop | Description: French-language art pop | Context: Quebec art pop with regional themes,4
Savannah Ré,Opia,2021,longlist,R&B,Ontario,Love & Relationships,Contemporary R&B,Contemporary R&B about relationships,Album: Opia | Artist: Savannah Ré | Genre: R&B | Description: Contemporary R&B | Context: Contemporary R&B about relationships,3
Allison Russell,Outside Child,2021,longlist,Folk/Soul,Quebec,Identity & Heritage,Folk and soul exploring personal history,Folk and soul about personal and family history,Album: Outside Child | Artist: Allison Russell | Genre: Folk/Soul | Description: Folk and soul exploring personal history | Context: Folk and soul about personal and family history,1
Julien Sagot,Sagot,2021,longlist,Folk,Quebec,Love & Relationships,French-language folk,French folk about relationships,Album: Sagot | Artist: Julien Sagot | Genre: Folk | Description: French-language folk | Context: French folk about relationships,3
Sargeant X Comrade,Magic Radio,2021,longlist,Electronic,Ontario,Social Commentary,Electronic music with political themes,Electronic music addressing political issues,Album: Magic Radio | Artist: Sargeant X Comrade | Genre: Electronic | Description: Electronic music with political themes | Context: Electronic music addressing political issues,5
Shabason Krgovich & Harris,Philadelphia,2021,longlist,Jazz,Ontario,Experimental & Abstract,Collaborative jazz project,Experimental jazz collaboration,Album: Philadelphia | Artist: Shabason Krgovich & Harris | Genre: Jazz | Description: Collaborative jazz project | Context: Experimental jazz collaboration,0
Yu Su,Yellow River Blue,2021,longlist,Electronic,British Columbia,Place & Landscape,Ambient electronic music,Electronic music with geographical themes,Album: Yellow River Blue | Artist: Yu Su | Genre: Electronic | Description: Ambient electronic music | Context: Electronic music with geographical themes,4
Julian Taylor,The Ridge,2021,longlist,Folk/Rock,Ontario,Identity & Heritage,Indigenous folk rock,Indigenous folk rock,Album: The Ridge | Artist: Julian Taylor | Genre: Folk/Rock | Description: Indigenous folk rock | Context: Indigenous folk rock,1
TEKE::TEKE,Shirushi,2021,longlist,Experimental Rock,Quebec,Experimental & Abstract,Japanese-influenced experimental rock,Japanese-influenced experimental music,Album: Shirushi | Artist: TEKE::TEKE | Genre: Experimental Rock | Description: Japanese-influenced experimental rock | Context: Japanese-influenced experimental music,0
TOBi,Elements Vol. 1,2021,longlist,Hip-Hop/R&B,Ontario,Introspection & Philosophy,Hip-hop and R&B fusion,Personal hip-hop and R&B,Album: Elements Vol. 1 | Artist: TOBi | Genre: Hip-Hop/R&B | Description: Hip-hop and R&B fusion | Context: Personal hip-hop and R&B,2
Vagina Witchcraft,Vagina Witchcraft,2021,longlist,Experimental,Ontario,Social Commentary,Experimental feminist music,Feminist experimental music,Album: Vagina Witchcraft | Artist: Vagina Witchcraft | Genre: Experimental | Description: Experimental feminist music | Context: Feminist experimental music,5
The Weather Station,Ignorance,2021,longlist,Indie Folk,Ontario,Place & Landscape,Environmental themes in indie folk,Environmental indie folk,Album: Ignorance | Artist: The Weather Station | Genre: Indie Folk | Description: Environmental themes in indie folk | Context: Environmental indie folk,4
Zoon,Bleached Wavves,2021,longlist,Indigenous Rock,Ontario,Identity & Heritage,Indigenous shoegaze,Indigenous shoegaze exploring identity,Album: Bleached Wavves | Artist: Zoon | Genre: Indigenous Rock | Description: Indigenous shoegaze | Context: Indigenous shoegaze exploring identity,1
Backxwash,God Has Nothing To Do With This Leave Him Out Of It,2020,winner,Hip-Hop/Electronic,Quebec,Social Commentary,Trans rapper exploring identity religion and social marginalization,Groundbreaking trans hip-hop addressing faith and identity,Album: God Has Nothing To Do With This Leave Him Out Of It | Artist: Backxwash | Genre: Hip-Hop/Electronic | Description: Trans rapper exploring identity religion and social marginalization | Context: Groundbreaking trans hip-hop addressing faith and identity,5
nêhiyawak,nipiy,2020,longlist,Indigenous Electronic,Alberta,Identity & Heritage,Indigenous electronic music exploring Cree culture and language,Cree language electronic music blending tradition and modernity,Album: nipiy | Artist: nêhiyawak | Genre: Indigenous Electronic | Description: Indigenous electronic music exploring Cree culture and language | Context: Cree language electronic music blending tradition and modernity,1
Pantayo,Pantayo,2020,longlist,World/Electronic,Ontario,Identity & Heritage,Filipino-Canadian electronic music exploring cultural identity,Innovative blend of traditional Filipino music and electronics,Album: Pantayo | Artist: Pantayo | Genre: World/Electronic | Description: Filipino-Canadian electronic music exploring cultural identity | Context: Innovative blend of traditional Filipino music and electronics,1
Lido Pimienta,Miss Colombia,2020,longlist,Latin/Electronic,Ontario,Identity & Heritage,Colombian-Canadian artist exploring Latin identity and displacement,Bold exploration of Colombian identity in Canadian context,Album: Miss Colombia | Artist: Lido Pimienta | Genre: Latin/Electronic | Description: Colombian-Canadian artist exploring Latin identity and displacement | Context: Bold exploration of Colombian identity in Canadian context,1
WHOOP-Szo,Warrior Down,2020,longlist,Indigenous Rock,Ontario,Identity & Heritage,Indigenous punk rock exploring cultural identity and resistance,Indigenous punk addressing colonialism and resistance,Album: Warrior Down | Artist: WHOOP-Szo | Genre: Indigenous Rock | Description: Indigenous punk rock exploring cultural identity and resistance | Context: Indigenous punk addressing colonialism and resistance,1
U.S. Girls,Heavy Light,2020,longlist,Art Pop,Ontario,Social Commentary,Art pop addressing gender inequality and social issues,Feminist themes over sophisticated pop arrangements,Album: Heavy Light | Artist: U.S. Girls | Genre: Art Pop | Description: Art pop addressing gender inequality and social issues | Context: Feminist themes over sophisticated pop arrangements,5
Caribou,Suddenly,2020,longlist,Electronic,Ontario,Love & Relationships,Electronic music exploring family and domestic life,Personal electronic music about fatherhood and relationships,Album: Suddenly | Artist: Caribou | Genre: Electronic | Description: Electronic music exploring family and domestic life | Context: Personal electronic music about fatherhood and relationships,3
The Weeknd,After Hours,2020,longlist,R&B/Pop,Ontario,Love & Relationships,Dark R&B exploring heartbreak and relationships,Cinematic exploration of toxic relationships,Album: After Hours | Artist: The Weeknd | Genre: R&B/Pop | Description: Dark R&B exploring heartbreak and relationships | Context: Cinematic exploration of toxic relationships,3
Jessie Reyez,BEFORE LOVE CAME TO KILL US,2020,longlist,R&B/Pop,Ontario,Love & Relationships,R&B album about love heartbreak and relationships,Vulnerable exploration of romantic relationships,Album: BEFORE LOVE CAME TO KILL US | Artist: Jessie Reyez | Genre: R&B/Pop | Description: R&B album about love heartbreak and relationships | Context: Vulnerable exploration of romantic relationships,3
Men I Trust,Oncle Jazz,2020,longlist,Indie Pop,Quebec,Love & Relationships,Dreamy indie pop with romantic themes,Ethereal indie pop with French-Canadian charm,Album: Oncle Jazz | Artist: Men I Trust | Genre: Indie Pop | Description: Dreamy indie pop with romantic themes | Context: Ethereal indie pop with French-Canadian charm,3
Daniel Caesar,CASE STUDY 01,2020,longlist,R&B,Ontario,Love & Relationships,R&B exploring love spirituality and relationships,Soulful R&B with gospel influences,Album: CASE STUDY 01 | Artist: Daniel Caesar | Genre: R&B | Description: R&B exploring love spirituality and relationships | Context: Soulful R&B with gospel influences,3
Andy Shauf,The Neon Skyline,2020,longlist,Indie Folk,Saskatchewan,Introspection & Philosophy,Narrative indie folk exploring human behavior and observation,Character studies set in a Saskatchewan bar,Album: The Neon Skyline | Artist: Andy Shauf | Genre: Indie Folk | Description: Narrative indie folk exploring human behavior and observation | Context: Character studies set in a Saskatchewan bar,2
Owen Pallett,Island,2020,longlist,Chamber Pop,Ontario,Introspection & Philosophy,Orchestral indie pop with personal and philosophical themes,Complex arrangements exploring personal transformation,Album: Island | Artist: Owen Pallett | Genre: Chamber Pop | Description: Orchestral indie pop with personal and philosophical themes | Context: Complex arrangements exploring personal transformation,2
Begonia,Fear,2020,longlist,Folk-Pop,Manitoba,Introspection & Philosophy,Folk-pop exploring anxiety mental health and fear,Vulnerable songwriting about mental health struggles,Album: Fear | Artist: Begonia | Genre: Folk-Pop | Description: Folk-pop exploring anxiety mental health and fear | Context: Vulnerable songwriting about mental health struggles,2
Witch Prophet,DNA Activation,2020,longlist,Hip-Hop/Soul,Ontario,Introspection & Philosophy,Spiritual hip-hop exploring consciousness and self-discovery,Metaphysical themes through hip-hop and soul,Album: DNA Activation | Artist: Witch Prophet | Genre: Hip-Hop/Soul | Description: Spiritual hip-hop exploring consciousness and self-discovery | Context: Metaphysical themes through hip-hop and soul,2
William Prince,Reliever,2020,longlist,Country/Folk,Manitoba,Introspection & Philosophy,Indigenous country/folk exploring personal healing and spirituality,Soulful country music with Indigenous perspective,Album: Reliever | Artist: William Prince | Genre: Country/Folk | Description: Indigenous country/folk exploring personal healing and spirituality | Context: Soulful country music with Indigenous perspective,2
Corridor,Junior,2020,longlist,Indie Rock,Quebec,Place & Landscape,Quebec indie rock with French lyrics,Distinctly Quebec indie rock sound and perspective,Album: Junior | Artist: Corridor | Genre: Indie Rock | Description: Quebec indie rock with French lyrics | Context: Distinctly Quebec indie rock sound and perspective,4
Sarah Harmer,Are You Gone,2020,longlist,Folk,Ontario,Place & Landscape,Folk music about environmental activism and place,Environmental themes and connection to Canadian landscape,Album: Are You Gone | Artist: Sarah Harmer | Genre: Folk | Description: Folk music about environmental activism and place | Context: Environmental themes and connection to Canadian landscape,4
Kaytranada,Bubba,2020,longlist,Electronic/Hip-Hop,Quebec,Experimental & Abstract,Electronic music with hip-hop and house influences,Innovative electronic production with R&B collaborations,Album: Bubba | Artist: Kaytranada | Genre: Electronic/Hip-Hop | Description: Electronic music with hip-hop and house influences | Context: Innovative electronic production with R&B collaborations,0
Cindy Lee,What's Tonight To Eternity?,2020,longlist,Experimental Pop,Ontario,Experimental & Abstract,Lo-fi experimental pop exploring gender and identity,Boundary-pushing experimental pop with gender themes,Album: What's Tonight To Eternity? | Artist: Cindy Lee | Genre: Experimental Pop | Description: Lo-fi experimental pop exploring gender and identity | Context: Boundary-pushing experimental pop with gender themes,0
Allie X,Cape God,2020,longlist,Pop,Ontario,Introspection & Philosophy,Dark pop exploring personal themes,Dark pop examining mental health and identity,Album: Cape God | Artist: Allie X | Genre: Pop | Description: Dark pop exploring personal themes | Context: Dark pop examining mental health and identity,2
Anachnid,Dreamweaver,2020,longlist,Electronic,Ontario,Identity & Heritage,Electronic music with Indigenous themes,Indigenous electronic artist exploring cultural themes,Album: Dreamweaver | Artist: Anachnid | Genre: Electronic | Description: Electronic music with Indigenous themes | Context: Indigenous electronic artist exploring cultural themes,1
Aquakultre,Legacy,2020,longlist,Hip-Hop,Nova Scotia,Social Commentary,Maritime hip-hop,Hip-hop with social consciousness from Nova Scotia,Album: Legacy | Artist: Aquakultre | Genre: Hip-Hop | Description: Maritime hip-hop | Context: Hip-hop with social consciousness from Nova Scotia,5
Marie-Pierre Arthur,Des feux pour voir,2020,longlist,Folk,Quebec,Love & Relationships,French-language folk,French folk exploring romantic themes,Album: Des feux pour voir | Artist: Marie-Pierre Arthur | Genre: Folk | Description: French-language folk | Context: French folk exploring romantic themes,3
Badge Époque Ensemble,Badge Époque Ensemble,2020,longlist,Jazz-Fusion,Ontario,Experimental & Abstract,Instrumental jazz fusion,Experimental jazz fusion,Album: Badge Époque Ensemble | Artist: Badge Époque Ensemble | Genre: Jazz-Fusion | Description: Instrumental jazz fusion | Context: Experimental jazz fusion,0
P'tit Belliveau,Greatest Hits Vol. 1,2020,longlist,Folk,Nova Scotia,Identity & Heritage,Acadian folk humor,Acadian cultural identity with humor,Album: Greatest Hits Vol. 1 | Artist: P'tit Belliveau | Genre: Folk | Description: Acadian folk humor | Context: Acadian cultural identity with humor,1
Chocolat,Jazz engagé,2020,longlist,Jazz,Quebec,Social Commentary,Socially conscious jazz,Jazz addressing social and political issues,Album: Jazz engagé | Artist: Chocolat | Genre: Jazz | Description: Socially conscious jazz | Context: Jazz addressing social and political issues,5
Louis-Jean Cormier,Quand la nuit tombe,2020,longlist,Folk/Rock,Quebec,Love & Relationships,French-language folk rock,French folk rock about relationships,Album: Quand la nuit tombe | Artist: Louis-Jean Cormier | Genre: Folk/Rock | Description: French-language folk rock | Context: French folk rock about relationships,3
dvsn,A Muse In Her Feelings,2020,longlist,R&B,Ontario,Love & Relationships,Contemporary R&B,Contemporary R&B exploring relationships,Album: A Muse In Her Feelings | Artist: dvsn | Genre: R&B | Description: Contemporary R&B | Context: Contemporary R&B exploring relationships,3
Jacques Greene,Dawn Chorus,2020,longlist,Electronic,Quebec,Experimental & Abstract,House and electronic music,Electronic house music,Album: Dawn Chorus | Artist: Jacques Greene | Genre: Electronic | Description: House and electronic music | Context: Electronic house music,0
Ice Cream,FED UP,2020,longlist,Punk Rock,Ontario,Social Commentary,Feminist punk rock,Feminist punk addressing social issues,Album: FED UP | Artist: Ice Cream | Genre: Punk Rock | Description: Feminist punk rock | Context: Feminist punk addressing social issues,5
Junia-T,Studio Monk,2020,longlist,Hip-Hop,Ontario,Social Commentary,Conscious hip-hop,Socially conscious hip-hop,Album: Studio Monk | Artist: Junia-T | Genre: Hip-Hop | Description: Conscious hip-hop | Context: Socially conscious hip-hop,5
Flore Laurentienne,Volume 1,2020,longlist,Folk,Quebec,Place & Landscape,Quebec experimental folk,Quebec folk with regional themes,Album: Volume 1 | Artist: Flore Laurentienne | Genre: Folk | Description: Quebec experimental folk | Context: Quebec folk with regional themes,4
OBUXUM,Re-Birth,2020,longlist,Hip-Hop/Soul,Ontario,Introspection & Philosophy,Spiritual hip-hop and soul,Spiritual hip-hop exploring consciousness,Album: Re-Birth | Artist: OBUXUM | Genre: Hip-Hop/Soul | Description: Spiritual hip-hop and soul | Context: Spiritual hip-hop exploring consciousness,2
Joel Plaskett,44,2020,longlist,Folk/Rock,Nova Scotia,Place & Landscape,Maritime folk rock,Maritime folk rock with regional identity,Album: 44 | Artist: Joel Plaskett | Genre: Folk/Rock | Description: Maritime folk rock | Context: Maritime folk rock with regional identity,4
Riit,ataataga,2020,longlist,Indigenous Pop,Nunavut,Identity & Heritage,Inuit pop music,Inuit pop exploring cultural identity,Album: ataataga | Artist: Riit | Genre: Indigenous Pop | Description: Inuit pop music | Context: Inuit pop exploring cultural identity,1
Super Duty Tough Work,Studies in Grey,2020,longlist,Experimental Rock,Ontario,Experimental & Abstract,Experimental rock,Avant-garde rock experimentation,Album: Studies in Grey | Artist: Super Duty Tough Work | Genre: Experimental Rock | Description: Experimental rock | Context: Avant-garde rock experimentation,0
Leif Vollebekk,New Ways,2020,longlist,Folk,Quebec,Introspection & Philosophy,Introspective folk,Personal folk exploring new perspectives,Album: New Ways | Artist: Leif Vollebekk | Genre: Folk | Description: Introspective folk | Context: Personal folk exploring new perspectives,2
Wares,Survival,2020,longlist,Punk Rock,Alberta,Social Commentary,Punk rock with personal themes,Punk rock addressing personal and social struggles,Album: Survival | Artist: Wares | Genre: Punk Rock | Description: Punk rock with personal themes | Context: Punk rock addressing personal and social struggles,5
Zen Bamboo,GLU,2020,longlist,Electronic,Ontario,Experimental & Abstract,Electronic music,Experimental electronic compositions,Album: GLU | Artist: Zen Bamboo | Genre: Electronic | Description: Electronic music | Context: Experimental electronic compositions,0
